 Team Number,How do you feel about your team,Feedback on team's performance,What is the good thing about your team,What is the bad thing about your team,What improvements does your team needs to do for better performance,"What would you have done differently, if you are the team leader"
20,Somewhat satisfied,Good,Equal Participation,Nil,Nil,
23,Very Satisfied,Collobarative and supportive,No one just ignore their assigned task,Can divide work more smoothly,NA,divide the task more smoothly
31,Very Satisfied,good,we will try to complete everything quickly.,nothing,nothing,i will ask them to complete the work within the deadline.
23,Very Satisfied,"we as a team performing well and i feel free to share my thoughts and views ,cooperation is very good between us ",commitment and co operation ,some of our team members are taking time move on with the flow.,continuous team meeting and feedbacks ,i would communicate each and every one personally and make feel free to open up themselves 
28,Very Satisfied,It is really amazing to do team work these guys are really supportive,they are helpful and supportive,nothing all are contributing in this project ,None,Now all things are just fine no need to change anything. all are present and helping out in this project
3,Very Satisfied,Each of them in the team equally contributing,Team coordination,Communication between the team members,We need to talk with each other's. ,I will split the given work equally and give to each of the members. So each person will contribute equally. 
Team 45,Very Satisfied,Everyone doing great job,doing our works so friendly while faceing challenges,language issue most of them are speaking in hindi,need to do more meeting,arrange meeting 3times in a day
19,Very Satisfied,All are doing good,They are very Interactive and easy to discuss,Nothing,Nothing,Don't Know
11,Very Satisfied,Excellent Team work and co-operation with each other.,Understanding and Serious about Their work which distribute,Arrange timing for meeting.,All are good.,Try to build code and simulation.
43,Very Satisfied,The team will be coordinating very clearly and the working steps will be shared to complete the work fastly,coordination,nothing,To cooperate with each other in a team,I can manage all the team  members to learn quickly and coordinate with others for better improvements
48,Very Satisfied,very good,cordination of member and all are good,nothing,only we have to do work day by day,if i will be the team leader i will do all necessary things which will be needed
48,Somewhat satisfied,good ,interactive,all of us find difficulty in writing code,need more work on coding part,NA
16,Very Satisfied,Good Teamwork.,All are working together.,Not such till now.,More internal meetings.,
39,Very Satisfied,Good Co-ordination,Team work,Nothing,Nothing,"Its fine with our team, If i were team leader , i would make more interractive."
31,Very Satisfied,good,doing thing on time,nothing,NA,NA
19,Very Satisfied,Everyone is active and gives their 100% in each and everything and also they help whenever anyone get stuck at any point. ,Unity,Little impatient when someone not value the time.,Patience,Try to communicate more with group professionally as well as personally and try to know the conflicts and problems they have and work on it.
Team7,Very Satisfied,Efficiently working with every them members.,less work stress and more performance driven,response to one's call,Little more of regularity in meetings,A bit of strictness
Team 20,Very Satisfied,All are able to help each other in the concept where other do have doubts. Team is very cooperative,All are open minded to help out with the idea and concepts they are aware of,Bit lagging in deciding the ideas,Help of how to do all the part with some example,Would have initiated people to start the project which is not much familiar
35,Somewhat satisfied,good,All are supporting ,they are not very active,Discuss the project in meeting properly,Handling the team very smartly
4,Very Satisfied,We are interactive and planned session worked fine,"team members I would say, because everyone is nice and kind to each other",just starting trouble at the beginning,some what confidence would be enough nothing much,will try to make everyone intercative
48,Very Satisfied,"It is good ,Actually it is going good every one in the team supported each other.",Helping  each other in the team.,nothing ,Nothing ,If I am the team leader I want to done my work by my own like testplan and implementations etc 
18,Very Satisfied,going well,team members are speaking very well,nothing,nothing,
49,Somewhat satisfied,3.5/5,sharing work,decision time is high,more activeness,"share the task to everyone in the group ,every  folder is shared amng it knows how the contribute every folder"
36,Very Satisfied,good spirit and collaborative .,participation of everyone ,no,work division ,we are doing actually good . This is easy procedure to work .
37,Somewhat satisfied,Good,Communication,Nothing,,Not team leader
26,Very Satisfied,Satisfied,cooperation,have to find out,more interactive methods,giving equal opportunity to every one's opinion
1,Very Satisfied,good team spirit,everyone will cooperate,nothing,reply on time,will make everyone reply on time
team 11,Very Satisfied,THEY ARE SO ACTIVE 24/7. ALL ARE REALLY WORKING HARD THOUGH.,ALL ARE REALLY SUPPORTIVE AND ACTIVE.,"WELL ACCORDING TO ME, I'LL SAY THERE'S NOTHING. ","ALREADY THEY ARE DOING SO GREAT, EVERYDAY.","IDK MUCH BUT I WOULD HAVE GUILDED THEM A LOT AND WOULD HAVE MADE THERE DOUBT CLEAR EVERYTIME WHEN THEY HAD ASK ME THOUGH. AND I GUESS IT'S A TEAM LEADER QUALITY, TO HELP EVERYONE."
37,Somewhat satisfied,Good,Co ordination,Little slow in work,Nothing more....explain each and every thing based on work and interact with all,I make sure to interact with every one and split the work to all so that everyone one can involve
12,Very Satisfied,All are doing the assigned job well,"team coordination, respecting other's opinion",surfing the problem in the browser to find solution must be improved,need to learn more out of interest,I would assign equal responsibilty to everyone and at the end of the day i will arrange meeting to update that day's work and explain how we did that so that everyone will come to know how to do all the work.
5,Somewhat satisfied,Good so far,Responsible members,Nil,Should be more unity,Will lead my team in worthy way
4,Neither satisfied nor dissatisfied,Team Performance is somewhat okay.,Very few came with different ideas to the project and making to complete things on meeting itself.,Some are not attending meetings and involving when it is scheduled and keep on postponing things to be completed.,Same as question number 7's answer.,I would made everyone to make all updating to the project without any delay.
26,Very Satisfied,very satisfied to work with this group,very helpful and very organized,NIL,None,
30,Somewhat satisfied,Going good,Our approach is nice,Sometimes lagging with coordination,Improve the pace,I would have made what our team is comfortable and convince them to do it
31,Very Satisfied,Everyone in the team are doing good.,Everyone is active.,Nothing is there to say,NA,I will guide each and every person in the person and i also start doing work with them and make them to do work.
group 1,Very Satisfied,good,coordination,nil,try to do it by fast,i will guide everyone and finish the project as soon as 
Team-44,Very Satisfied,its going smoothly,team work,little bit confusion about work divide,we need to improve on our coding part to be done ASAP,team work
41,Somewhat satisfied,Good,Communication,Everything seems alright ..need to improve fast group call.,While taking call we need to be more fast .,"Everything good,I do more collaborative with the mates."
2,Very Satisfied,Great,Great Response,Time Management,Time Management,I would have scheduled a fun meeting to get to know each other and then discuss about the project.
18,Somewhat satisfied,Good,Communicate well,,,
8,Somewhat satisfied,GOOD,PUTTING THEIR EFFORTS IN SOLVING THE ISSUES IN AN EFFECTIVE WAY,NOTHING ,EVERYONE SHOULD CATCHUP ON TIME ,I COULD TAKE THE INITIATIVE TO HELP THAN BEING AGGRESSIVE SOMETIMES
49,Somewhat satisfied,Team is working good and needs more coordination.,Everyone is contributing ideas.,,Needs more coordination.,
44,Very Satisfied,Team's performance is good,work on the basis of everyone's suggestion and opinions,There is no bad thing,,
42,Very Satisfied,its Nice,Together work,nil,fast response,speed up
33,Very Satisfied,Excellent,They will respond at any time if there is a problem,nothing,Everything is good,Nothing i will go with the flow
21th,Very Satisfied,good,easily communicate,no,good performance,
34,Very Satisfied,Excellent Performance.,helping eachothers,Some team members are not replying.,,
team 11,Very Satisfied,all are very good performance,helping each other,no,no,nothing to change 
9,Very Satisfied,good,They are discussed very friendly,Nothing,send more time in teams,I will arrange team meets and discussed our project and do well
50,Very Satisfied,Friendly members and great working towards the project.,Coordination among the team members.,None,None,None
22,Somewhat satisfied,good,mutual understanding,nothing,to come up little more faster works,still better with fast work
18,Very Satisfied,"We all are contributing and taking efforts in our project, my team members are really supportive and friendly.",everyone takes initiative ,none,none ,
9,Very Satisfied,they are very helping,helping each other and clearing doubts,dont know,more time together,same
16,Very Satisfied,Good,Helping and Coordinative,Nothing,I think they are good,
27,,Our team performance good,6 to 7 people response quickly,1 person not attended any meet,"We need to fast, slow in decision making",If am the team leader I will manage everything by frist day itself & take decision according so that we can complete the project
39,Very Satisfied,very good,unity,nothing,,
20,Very Satisfied,good,My teem was very good and colabarative,little bit late responses,speed response and conduct more meetings,motivate my teem and do working together.
46,Very Satisfied,"our team is working jointly and also involved individually, I am so happy with my team.",our team is interacting with one another and  giving respect to everyone thoughts ,I hope nothing bad  in our team. Everything goes smoothly,Everything is fine,I will divide the work individually  by getting suggestion form everyone. 
33,Very Satisfied,Everyone is doing great work,We are going with Good understanding.,NA,"Everyone is good in their field, no improvement needed.","working in group is best thing, we can assign task according to their intrest."
44,Somewhat satisfied,Average,Members were listening to each other ,team was not much collaborative ,better collaboration  is needed,first divide the individual contributions equally
38,Somewhat satisfied,8/10,everyone wants to learn,NA,a little bit more efforts,better discussions
39,Very Satisfied,Still need to integrate,Completed everyone work on time,No bad,Just need to join meet in time,It was perfect nothing would have different
33,Very Satisfied,very much satisfied,"co-ordination, Evenly partition of task","Not much bad,  totally satisfied with the team.",,
25,Very Satisfied,Excellent work,"Productive ,Motivated",nothing,more efficient,push myself & my team
32,Very Satisfied,Excellent,Good Coordination,Some people are not Connecting,Nothing,Interaction with my teammates and work on it.
17,Neither satisfied nor dissatisfied, Upto the expected level,Everyone Get information about what everyone going to do,Communication is not good,Everyone should needs to do not one 3 or 4 person in team,Project we choose would be different
4,Somewhat satisfied,It was good and great project were everyone was happy to contribute,Very energitic peoples with lot of passion towards working in this field,No proper alignment of work shared (one has more and other has less),equal work needs to be done so that everyone will get credit,I will properly allocate work and give they time with proper communication
Team 31,Very Satisfied,Synergy with other members is good. Everyone is their own work properly.,"Being a new member, some of my team members have helped me alot.",Nothing bad but some of the members are not that active on the group,We do not know each other well so some bonding is needed,Try to build team synergy
2,Very Satisfied,Really cooperative and hardworking ,everyone encourages each others work and help each other,Nill,More effective communication,I would have split the work for each individual and make sure each individual is contributing as much as others.
44,Somewhat satisfied,Everything was good.,Everyone is involved , Not Splitting the task  correctly,Way of Splitting the task needs to be improved.,I will split the task correctly for a respective persons in a team and make sure everyone is involved. 
31,Very Satisfied,Performance of team is excellent.,Everyone is contributing from their side and every team is very helpful.,Nothing.,work together as a team.,Everybody contributed equally.
Team 10,Very Satisfied,Excellent,Very supportive and honest about their work,Nothing,Increase more communication to share most of the things.,I would have led the team on proper time with proper way.
06,Very Satisfied,Each of the team member is being supportive toward other teammates.,each and every team member being cordial to each other.,Sometime few team member won't respond on time!!,"They need improve leadership traits like time management, taking decision"," If I could be the team leader I could have segrigated teams in different manner, as well as shown them how could they can show their leadership quality.."
23,Very Satisfied,its good,we are doing good in our project and we are doing our work as a team,nothing i can found,Nothing,i can a meet with the team and i can suggest some more important points
45,Somewhat satisfied,Good,Good Understanding,not having enough knowledge,"Learn new technologies, Take charge ",Ask for more time to create a good and better project and learn how to accurately do the project add badges and stuff so that I can help the team better.
Team 9,Very Satisfied,Yes its Good.,Discussion and Management was good.,Nothing ,Good to be as same and engaging with team.,"No, I am not the Team Lead."
43,Very Satisfied,good responsive team,co-ordination ,nothing,as we are great till now but we need to improve ourselves ,sharing the work between the all team members
33,Somewhat satisfied,"Team is little bit slow , but overall performance is good as all teammates listen ecahother and then take any decision.","All members are understanding , all members listen to each other. ","Little bit slow, as some teammates give their response little bit slow.",Resposne time can be improved,Will try to take everyone response as soon as possible 
5,Very Satisfied,Good ,Supportive,Nothing,More Hard work together,More communication
13,Somewhat satisfied,They have great potential to work on things.,Coordination ,We are lacking in some technical aspects.,We should learn more about programming.,"Everything is fine,nothing to complain about."
19,Very Satisfied,All Good,cordination,not present on time,NIL,Arranging them and improve the cordination level
3,Very Satisfied,overall good,Everyone working as a team,Nil,we have to work coordinate as a team ,"I have done the 4W's ,1H part and doing the coding part "
11,Somewhat satisfied,Overall hardwork and performance of team members are good.,They all cooperating and trying to get success of our project.,They just thinking over  to put their openion in discussion.,they all doing good other than that.,As am the guide for Documentation department i have done with good work in both documents and design part with help of my team. And i also helping them by teaching them new things and correcting mistakes.
43,Very Satisfied,Very nicely all people are working now starting was little difficult but we all managed the things.,Having Discussions and taking everyone's opinion,no,co-operation little more required form few team members,bringing all members together and make them speak in group to create comfortness
5,Very Satisfied,Excellent,Team co-ordination is very good,Nothing to say about it,Nothing keeps on doing the same,Everything going on good I will also work along with them as now  
37,Very Satisfied,Very good ,Team work ,No,No,No
17,Very Satisfied,All the members of the team participated in every decision and helped each other at any time.,Helping each other.,Nothing,NA,Nothing different same as going on  with each member.
2,Very Satisfied,Everybody has contributed,Cooperation is very good,Nothing,Punctuality for meetings. ,Contacted every individual personally and asked their points
14,Very Satisfied,Every colleague of our team are very friendly and helpful to each other if anyone is facing any problem while doing the project,Communication between all the colleagues,Nothing,Work together for some more time,Nothing
32,Very Satisfied,It is Good to Working  with them.,Collaboration and Understanding,,Speed Up the Work,
4,Very Satisfied,Everything is going good and smooth,Team Work,NA,"There is nothing need for improvements, because everything is going perfectly",NA
41,Somewhat satisfied,good,team work,nothing,team work,Team work
46,Somewhat satisfied,all team members are very much supportive,supportive nature,nothing,nothing,"i could have checked all team members ,wheather they are  facing any issues. "
24,Very Satisfied,very good,coperative and responsive,no bad thing,require more focus towards the project,elaborate the things more clearly
5,Somewhat satisfied,Good team to work,They can discuss everything.,Nothing bad about our team.,we have to conduct some more meetings.,I can coordinate each and every one in the team.
44,Very Satisfied,Going well with the required things and assigned task to each one.,Learnt how to collaborate with the team,nothing so bad about the team,all are upto the mark and doing great job,Things are on the process.
48,Somewhat satisfied,,Group planning is good. ,,,
7,Very Satisfied,Good,"interacting,coordination",None,proper meetings,"manage the project,manage performance and solve problems"
22,Very Satisfied,good,Coordination,NA,NA,Managing The Time
10,Very Satisfied,GOOD,GOOD COORDINATIN,NOTHING LIKE THIS,IF WE ARE IN THE IN PHYSICAL MEETING,MOTIVATED
4,Very Satisfied,good,discussing with each person about the project,noting,no,something different
35,Very Satisfied,Overall Good,Everyone Contributes their work and support each other.,Somewhat Communicating is missing.,Nothing to be improve,Try to Reslove some of the Conflicts in our team
17,Very Satisfied,it's exellent,Their is no leader we all drive are team,,having meeting for discussion at least twise a day,i will make a rule at least for every discussion everyone should have one single question to ask in the end or start of the discussion
3,Somewhat satisfied,performance is good and quality of communication is good.,The conscious thing about the project is good and they provide lot of information to complete the project.,The bad thing is not everyone provide their reviews and ideas and are not outspoken,Everyone must understand the teams idea and should work accordingly to enhance with common output,I could have asked for the common strength of everyone and what can they do and the areas of their strength to apply.
11,Very Satisfied,I Am very Happy That I Got a better team we all are doing projects together and helping each other.,Our team helps each other to solve the problem and sverone is giving their 100%,NA,NA,As a team leader i try my best to fix the problem coming in project
37,Somewhat satisfied,Good,Team work,communication,all members must communicate and contribute,assign the work equally
18,Somewhat satisfied,We doing very good as team and things was completing with in the dead time.,Very good co-ordination and good very good team involement .,Two of the friends are inactive in meetings,I think we are extremely good.,According my view i will do some change assign the work  according to there strength.
12,Very Satisfied,Good coordination,conducting meetings frequently  and Timemanagement.,NA,NA,NA
44,Very Satisfied,My team is very responsible towards work. All are having their equal participation in this project. Hope we will get a best outcome.,Equal team coordination and best understanding.,Nothing like that.,It doesn't have any specific improvements needed it will be better if we continue the same till the end.,The same thing which my team mates are working on like equally splitting the work and ask them to give their equal participation.
Team 29,Somewhat satisfied,it's good idea and we are doing good,Team spirit,nothing,nothing,"i will discuss more about project, and tell us importance of which each output and their roles"
27,Somewhat satisfied,Good to work with them.. ,Team work was good. They help each other,One person not connected our team,Timing,I am arrange the meeting ever day . Connecting with team. 
11,Very Satisfied,Very good .i really got a fantastic team.,Team work and everyone is contributing . ,Really i cant find a single bad thing,We were working with the projects . we have to improve our technical skills.,"We didn't had any intro session .if i was a team leader , i will make people know about people first ."
15,Neither satisfied nor dissatisfied,good,co-operation,-,-,-
39,Very Satisfied,Good ,helping each others,Nothing ,Hard work of each members,I share my Knowledge for improving our projects 
25,Very Satisfied,Awesome,Team gathering,Response,It's Perfect,Cooperation
18,Somewhat satisfied,Performance was good ,One common thing about my team was humble and cooperation.,Till now it was okay and nothing else so bad.,Somewhat needs to be more interactive and feel free to speak.,I would first interact with everyone and suggest some ideas and encourage to do group work efficiently.
49,Somewhat satisfied,"It's the first time for each one of us to make a team project. So it's difficult to everything right as a team work. But no problem , it will take some time to interact and perform good",Everyone in our team is still in touch.,Not everyone are giving suggestions,Everyone must give ideas and should come forward to take some responsibilities to finish a project,I will analyze the project and will split the work related to project and give it to others.
28,Very Satisfied,good team member,every person are true,mismathching time, good thinking,good leader
11,Very Satisfied,all are going well,very active ,nil,we should keep working on more coding skills,work on the simulation and coding 
41,Very Satisfied,very good,helping each other,none,none,encourage the team member to do work fast
38,Very Satisfied,Good,Team Work & Unity,"They did the work faster, Before specific time.",They need to done the work with in the time.,We will done the project even more smooth.
Team 35,Somewhat satisfied,It was good,Everyone was quite good to understand each others' problems,Some people did not reply or respond,Some team members need to respond more quicker.,If I was a team leader I would more focus to everybody's contribution
24,Very Satisfied,Good,Time management,Nothing,Enhance productivity by communicating effectively,We work together very smoothly
39,Very Satisfied,Good,They help each other,None,None,None
9,Very Satisfied,It's all good. ,All are ready to work with each other,nothing,They should come with new ideas,There is no any team leader in our group all are working differently.
24,Very Satisfied,We are doing good in discussing the topics and things to do in project,We are more interactive with each other,No such ,Work more faster as the deadline is tomorrow,Start working on the project little earlier
5,Very Satisfied,excellent team work,"involvement,team work",nothing,want to do more creative idea,flexible with every one
07,Very Satisfied,GOOD,All will take the initiation and complete task all together,NO,All has to put the more effort ,I Will take the whole work as my responisibility. I will give the better result than others
37,Very Satisfied,Very Good,Team Work,No Bad Thing,To Complete the assign work Little Fast,To make my team little strict
25,Very Satisfied,NA,Co-operation,NA,NA,NA
10,Very Satisfied,I really got a good team and i m very excited to be part of the team.,Good Coordination & Time Management,NA,NA,I'll share the work with my team members. we will do smart work on it.
Group 32,Very Satisfied,Very Good,Contribute all and help others,Nothing,Nothing,Nothing
10,Somewhat satisfied,okay not upto the mark,coordination,-,By more meetings and discussion,"I would consider everyone's idea then go with good and majority one's idea , I could give a  feel that everyone as team leader and everyone one have the right to give their opinion and they should also be the part of important decisions."
8,Somewhat satisfied,Good,some of us are really working hard ,Some of us are really not interested in project,We are facing issues in makefile and cppcheck the setup is not working properlly.,I will make every one to join and participate all the meetings and discussion.
34,Very Satisfied,Highly satisfied,Co-ordination and helping eachother,Nothing as such faced till now,"Nothing ,going good ",Will make working more interesting
47,Somewhat satisfied,good,discussing things,nothing,nothing,discussing more things and implement it
5,Very Satisfied,Good,Team coordination is good in splitting work,Spending moderate time for doing project,Spend more time on project,Give more brief on coding part to all the peers in team
38,Somewhat satisfied,Good,Everything is fine,Nothing ,To be clear on everything,Influence people positively. To be more Creative 
35,Somewhat satisfied,excellent,cooperation,lacking of leadership,team work,more effort
45,Very Satisfied,its good,we are punctual and moving ahead,nothing,nothing,we are going good.
1,Very Satisfied,project work is shared between among team members,team work,NA,NA,NA
29,Somewhat satisfied,It's Good and we are doing good,Coordination ,Nothing,Nothing,I will discuss more about project and divide the work equally to every one
21,Very Satisfied,Good . I would give 100 for my team,Coordination,Nil,,
6,Very Satisfied,Good,Team work,Initially they go-ahead with hard coding,In my thoughts we already going with better workflow,Divide the part of project with everyone knowledge same as 
43,Very Satisfied,Good so far,Togetherness,nothing,nothing,same as we are doing now
14,Very Satisfied,My team performance is very good.,Good thing is everyone will help each other to solve problems .If anyone don’t no how to do every person in the group will help him.,Nothing ,More meeting should happen.,Same thing no need to change.
25,Very Satisfied,good,Working together facilitates idea generation and creativity,NA,NA,NA
40,Very Satisfied,good together,we help eachother and had meets everyday,i think no bad,its would be excellent if we work together more,i would take intiate and help everyone by having feedbacks from them
16,Very Satisfied,Good,Coordination,NA,NA,Na
21,Very Satisfied,It's good everyone is very helping and intercating,they are very interacting and everyone is doing the work,NA,,I would have assisgn the work equally to everyone 
38,Very Satisfied,Performance is good,They Support each other,Nothing,Everything is going in a good manner,I guide my team in very good
8,Somewhat satisfied,Everybody is trying their best to complete the project,The good thing is that if I am stuck at some point they are helping me to over,Some of the team members have not responding so our project taking a bit more time to complete,,
38,Somewhat satisfied,Good,,,,
22,Somewhat satisfied,I think we are doing great job when we ran the all hands meeting. It showed that we are capable of getting people to work together and communicate effectively.,Sharing different opinions that can help make effective decision faster than when we done alone.,Nothing,Nothing,Nothing
11,Neither satisfied nor dissatisfied,Need to improve technical skills.,Every one participates in group meetings.,Some people not much contributing in the coding part.,Need to improve coding skills.,Try to make all team members participates in all activities.
43,Very Satisfied,A very good performance by all our team members and their consistency in work is fabulous.,Team Work and Friendliness,None,Get updated by learning more about the skill they have.,I would mingle with my team and together solve whatever the problems we get and finally act as a member of team instead of a leader.
6,Very Satisfied,Everybody is active in team and does all work,That we help eachother,Nothing,Research more about project and get a good output from the team.,Give all team member equal work and help and motivate them to do the best.
15,Very Satisfied,Everything is good up to now,Coordination,Nothing ,No everything is fine up to now,Don't know
33,Very Satisfied,Very good,Commitment towards the project and coordination among us. ,Nothing,No need to improve anything,I will do Same as my present leader did. 
8,Very Satisfied,Good,Actively participating ,"Firstly we should initiate them ,then they're participating Otherwise they're not reponding ",motivation,I'll Motivate first and I'll give my best to involve each and every team member to get participated in everything from first to the end of the modules.
50,Very Satisfied,Its nice experience when working in team with unknown people together,Good collaboration ,Some late responses,All should interact individually and give suggestions for improvement of project,Find unique talents and capitalize.
20,Somewhat satisfied,need more python knowledge ,communication,not enough knowledge about python ,better python knowledge ,choose a simpler non python project
16,Very Satisfied,Everyone is working on their task and maintaining the pace,All team members are reliable ,"none, everything is good",We'll need to arrange more group calls for effective results,I would have arranged more group calls
1,Very Satisfied,My team has good coordination and giving their maximum effort to finish our project.,Teamwork,Nothing,We already doing well.,I will seperate the team members and split the work to finish it on time.
28,Very Satisfied,good team,Planning and time management,none,Clarify role,Set target and Time management
40,Very Satisfied,All my team members are in write track,100% involvement,I think NA,"may be this is our first project in group (ltts) , in future we will reach 100%",first I make the team members to settle down & and I will ask their ideas
25,Very Satisfied,all good,Each member help to each other.,nothing,consistency,"if I am a team leader then  I trust and respect of the team and Respect to Others, Fair and Kind."
35,Very Satisfied,all good,all good,NA,there is no improvements needed,.
36,Somewhat satisfied,Good,Attending meetings,not suggesting the inputs properly,put more efforts to go forward,I would have make each and every team member to put their efforts and work with the project to get best output
15,Somewhat satisfied,It is good.,Work progress is divided properly.,NIL,Better communication.,"If I were a team leader, I would equally  separate the work progress  and help my team mates if they have any issues."
43,Very Satisfied,team work is good,"team work, everyone contributing well",NA,"NA, everything is going fine",team work
7,Very Satisfied,All are enthusiast to do Projects . So its very comfortable to me ,"All are Kind-hearted people , Happy to work with my team",NA,All going good ,Just follow my current team leader's Procedure
Team_13,Very Satisfied,Everyone is equally putting the efforts ,It is Team understanding ,There's nothing bad as such but hope everyone communicates,Everyone communicating ,Giving the support when any team member is required
6,Very Satisfied,Good,Co-ordination,Decision making,Decision making Process,setting strategy and monitoring progress towards goals
38,Somewhat satisfied,GOOD,GOOD RESPONSE,NOTHING,TO BE CLEAR ON EVERYTHING,TO BE MORE CREATIVE
18,Very Satisfied,Good,complete the project within time,NA,NA,discussed with team members and complete the project
44,Very Satisfied,Good,Interaction from all,Nothing,Nothing,from the starting would discuss everything and share work equally with all
